image_id	caption
60228	A bare screen with a large text situated at the center area of the screen.
26979	A tutorial app with a large image element placed at the center part.
38987	The app is a list screen having a large text button component located at the top area of the screen.
63183	That screen must be a dialer screen having a text located at the top part of the screen.
21833	A list screen having a web view element placed at the bottom part of the screen.
38404	The app looks like a list screen with a text element placed at the center area of the screen.
42924	A modal screen with a text element ubicated at the top part.
650	This screenshot must be a gallery app having a web view located at the bottom area of the screen.
36664	A list app with a text component located at the bottom part.
44304	The interface must be a bare app having a text button element located at the top area of the screen.
44818	This screenshot looks like a list screen having a text ubicated at the right part of the screen.
13575	A list screen with a text component located at the top part.
14946	A gallery app having a large image located at the left part of the screen.
64013	A login app having an input placed at the top area of the screen.
9895	This interface must be a bare app with an icon component ubicated at the top-left part of the screen.
7726	A list app having a large background image located at the center area.
28001	This interface looks like a modal screen with a large text placed at the center part.
60164	That interface type is unknown.
52035	A list screen having a large text located at the top area.
29983	This app must be a list app with a text ubicated at the top area of the screen.
17254	A login screen with a large background image ubicated at the center area of the screen.
39023	The app must be a news screen with a text component ubicated at the top part of the screen.
46495	A bare app having a text situated at the center area.
13410	A list screen with a text component situated at the top part.
14585	The screenshot is a menu app having a large image situated at the top-left area of the screen.
11433	That app looks like a form screen with a text component ubicated at the top-left area of the screen.
47522	The app must be a modal app with a large text ubicated at the center area of the screen.
53059	The app must be a bare screen with a text situated at the center area.
58419	This screen must be a tutorial app having a large image element placed at the center area of the screen.
48309	This app is a tutorial screen having a large image element situated at the center part.
35591	A mediaplayer screen with a large image component ubicated at the left area of the screen.
3291	A settings app having a large image ubicated at the top area.
48832	That screen looks like a tutorial app with a large image component ubicated at the top part of the screen.
55812	An editor app with an image element situated at the right area.
24777	This interface type is unknown.
31033	That app looks like a settings app having a text ubicated at the center area of the screen.
23735	A form app having an input component placed at the top part.
61416	The screen looks like a modal app having a text button located at the center part of the screen.
46312	That screenshot is a login screen with a text located at the center part.
63070	A list app with a text element placed at the center part.
20233	The screen is a login screen having a large text button component placed at the center part of the screen.
55312	A tutorial screen with a large image situated at the top area of the screen.
49076	A form screen with an input element situated at the center area.
7738	A login app having a text element ubicated at the center part of the screen.
9910	The app must be a settings screen having a large text placed at the top part of the screen.
30240	This screenshot is a login app with a text button component situated at the center part of the screen.
43818	That screenshot is unknown.
57954	A terms screen having a large image situated at the center part.
45692	A profile app having a text element located at the top part.
16664	That screenshot looks like a list app with a text component situated at the top area.
62012	A menu app with a text ubicated at the top-left part of the screen.
54638	That interface looks like a mediaplayer app having a large image located at the center part of the screen.
56155	The app looks like a list app having a text located at the top-left part of the screen.
49013	A form app with a large image located at the center area of the screen.
3722	The screen looks like a chat app having an icon component placed at the top-left area of the screen.
10636	A news app having a large image component located at the center area of the screen.
37460	The app must be a tutorial app with a large text ubicated at the top part.
686	That screenshot must be a list app with a text component placed at the center area of the screen.
31253	This interface must be a gallery screen having a text button ubicated at the top part.
64452	A list screen having a text component located at the center part.
2317	This screen must be a bare screen with a web view element placed at the bottom part of the screen.
124	This screenshot is a list app with a web view located at the bottom part.
51329	A menu app having a large text button component located at the top area.
30007	A menu app having a text button located at the top area.
62160	That interface must be a list app with a text button placed at the top part.
1411	That interface must be a news app with a large image placed at the top area of the screen.
22627	A tutorial app having a large background image component ubicated at the center part.
44718	A menu screen having a large web view component situated at the center part of the screen.
52842	That screen is a list screen with a large text button element placed at the top area of the screen.
23301	A maps screen with a text element located at the top part.
32802	The interface is a gallery app with a large image component situated at the center area of the screen.
54790	The interface looks like a list app having a text component placed at the left part of the screen.
40562	The screen is a login screen having a large text located at the top part.
41845	This screenshot must be a search screen with a large text button element situated at the top area.
7169	That app looks like a news app with a large image component located at the center area.
1622	A login app with a large background image element situated at the center part of the screen.
69297	This app must be a menu screen with a large background image component ubicated at the center area.
56197	A tutorial app with a large background image placed at the center part of the screen.
46762	This screenshot is unknown.
9075	The app must be a bare app with a large image component situated at the center part.
71558	That app must be a login app with a text component ubicated at the center area of the screen.
38375	This screenshot is a bare screen with a large image component located at the center part of the screen.
31564	A tutorial app having a text located at the center area.
17087	The app is a gallery app with a text button element located at the right area.
38398	A gallery app having a text situated at the bottom part of the screen.
19449	A settings app having a text component located at the center part.
37922	The app must be a profile app with an input element placed at the center area of the screen.
59172	A search app having a text button ubicated at the center part.
30081	A tutorial app having a large background image element situated at the center part.
11233	A settings app having a text element situated at the bottom-right part.
6469	The screen is a bare screen having a text situated at the top part.
22730	The screenshot must be a tutorial screen with a large image element situated at the right area.
48269	A menu screen with a radio button element placed at the top-left area of the screen.
57745	The screenshot must be a tutorial screen with a large image placed at the center part.
13565	This screenshot is a gallery app having a large image component ubicated at the center part.
20016	A form screen having a text button element placed at the center area.
7265	This screen must be a settings app with a large background image element placed at the center part of the screen.
14549	A login screen having a large background image element located at the center area of the screen.
18254	A modal app having a large image located at the center part.
35609	A menu screen having a text ubicated at the top part of the screen.
48322	The screen looks like a login screen with a text component placed at the bottom area.
49626	The interface must be a form app having an image element situated at the top part.
60556	A search screen having a text button component ubicated at the left part of the screen.
70330	A login screen with a text button ubicated at the center area.
28511	This screenshot is unknown.
4211	The screen is a modal screen with a large text button situated at the center area of the screen.
22082	A login screen with a text ubicated at the center part of the screen.
61284	The app must be a tutorial screen with a large image component located at the left area.
50502	The app must be a list screen having a text component ubicated at the top area of the screen.
39270	A tutorial screen having a text element ubicated at the center part of the screen.
15065	That interface looks like a list app having a text component ubicated at the top area.
64685	A login screen with a large text component situated at the top area.
27920	This screenshot must be a mediaplayer screen having a large background image element situated at the center area of the screen.
25425	A list app having a text button element situated at the center area of the screen.
25884	The app must be a tutorial screen with a large image element located at the center area of the screen.
42545	A camera app with a large image situated at the bottom part of the screen.
39606	A login app with a large text button component located at the center part of the screen.
27884	A menu screen having a large image element located at the top area.
11393	A list screen having a text placed at the top-right part of the screen.
14247	A list screen having a large background image element placed at the center part of the screen.
20178	That screen looks like a profile screen having a text button component located at the center part.
3532	The app looks like a tutorial app having a large text located at the center part of the screen.
23785	A settings app having a large background image element located at the center part of the screen.
10596	This screen looks like a login screen having a text button element ubicated at the top part.
56523	A tutorial app having a large image component located at the center part.
69485	A profile screen with a large image element ubicated at the center area of the screen.
4194	This app looks like a list app with a text element located at the left part of the screen.
12280	A form screen with a text button element placed at the top part of the screen.
39417	A gallery app with a text element ubicated at the center area of the screen.
46105	That screen must be a list app having a text element placed at the top part.
62105	That interface looks like a gallery screen with a large image component ubicated at the center area of the screen.
501	A modal app having a text button element placed at the center area.
60374	A tutorial app with an image component situated at the top part.
32938	A list app having a text located at the top part of the screen.
43186	A form screen having a large input element located at the top area.
54650	A settings app having a large text component located at the center part of the screen.
